genepairs,label,Query_single_mutant_fitness_(SMF),Array_SMF,Double_mutant_fitness
qcr2_ndi1,1,0.751,1.0457,0.8415
qcr2_ade17,0,0.751,1.0050000000000001,0.7383000000000001
qcr2_nde1,1,0.751,0.9905,0.7673
qcr2_cox7,1,0.751,0.742,0.5577
qcr2_ade4,0,0.751,1.0368,0.7444000000000001
qcr2_cox5a,1,0.751,0.9410000000000001,0.7234
qcr2_cyt1,1,0.751,0.7435,0.6024
guk1_ynk1,1,0.5535,1.0157,0.5547000000000001
nde2_guk1,0,1.0070000000000001,0.8698,0.882
adk1_guk1,1,0.3255,0.8698,0.2361
qcr6_guk1,0,0.9748,0.8698,0.9003
cox4_guk1,0,0.756,0.8698,0.5756
cox13_guk1,0,0.9355,0.8698,0.8054
qcr9_guk1,0,0.8243,0.8698,0.7149
cox6_guk1,0,0.6985,0.8698,0.6257
qcr8_guk1,0,0.7485,0.8698,0.646
sdh2_guk1,0,0.9805,0.8698,0.7261000000000001
ade16_guk1,1,1.0097,0.8698,0.8828
cox12_guk1,0,0.772,0.8698,0.6757000000000001
ade17_guk1,1,1.0050000000000001,0.8698,0.8123
cox7_guk1,0,0.742,0.8698,0.7189
ade4_guk1,1,1.0368,0.8698,0.9664
cyt1_guk1,0,0.7435,0.8698,0.6795
qcr2_guk1,0,0.751,0.8698,0.671
